model,hw,task,ablation,operator,cycles,pct_of_total
bagel,ours,GenEdit,onlyT1,text/attn,24575843646,1.540
bagel,ours,GenEdit,onlyT1,text/ffn_down,54804082144,3.433
bagel,ours,GenEdit,onlyT1,text/ffn_up,56458378144,3.537
bagel,ours,GenEdit,onlyT1,text/omap,10681314784,0.669
bagel,ours,GenEdit,onlyT1,text/qkv,13733119008,0.860
bagel,ours,GenEdit,onlyT1,img/attn,60167923200,3.769
bagel,ours,GenEdit,onlyT1,img/drain,25600,0.000
bagel,ours,GenEdit,onlyT1,img/ffn_down,398878233600,24.987
bagel,ours,GenEdit,onlyT1,img/ffn_up,797756467200,49.974
bagel,ours,GenEdit,onlyT1,img/omap,75463449600,4.727
bagel,ours,GenEdit,onlyT1,img/prefetch,102400,0.000
bagel,ours,GenEdit,onlyT1,img/qkv,103817246400,6.503
bagel,ours,GenEdit,onlyT2,text/attn,24575843646,1.760
bagel,ours,GenEdit,onlyT2,text/ffn_down,54804082144,3.924
bagel,ours,GenEdit,onlyT2,text/ffn_up,56458378144,4.042
bagel,ours,GenEdit,onlyT2,text/omap,10681314784,0.765
bagel,ours,GenEdit,onlyT2,text/qkv,13733119008,0.983
bagel,ours,GenEdit,onlyT2,img/attn,192894732800,13.811
bagel,ours,GenEdit,onlyT2,img/drain,25600,0.000
bagel,ours,GenEdit,onlyT2,img/ffn_down,398878233600,28.559
bagel,ours,GenEdit,onlyT2,img/ffn_up,465357939200,33.319
bagel,ours,GenEdit,onlyT2,img/omap,75463449600,5.403
bagel,ours,GenEdit,onlyT2,img/prefetch,102400,0.000
bagel,ours,GenEdit,onlyT2,img/qkv,103817246400,7.433
bagel,ours,GenEdit,onlyT3,text/attn,24575843646,2.263
bagel,ours,GenEdit,onlyT3,text/ffn_down,28334012448,2.609
bagel,ours,GenEdit,onlyT3,text/ffn_up,33140139872,3.051
bagel,ours,GenEdit,onlyT3,text/omap,10681314784,0.983
bagel,ours,GenEdit,onlyT3,text/qkv,13733119008,1.264
bagel,ours,GenEdit,onlyT3,img/attn,192894732800,17.759
