variant,axis,point,kv_cache_init,batch,total_cycles,seconds,throughput_req_per_s,energy_mJ,energy_per_req_mJ,compute_mJ,sram_mJ,dram_mJ,avg_power_W,edp_mJs,cyc:text/qkv,cyc:text/attn,cyc:text/omap,cyc:text/ffn_up,cyc:text/ffn_down,cyc:img/qkv,cyc:img/attn,cyc:img/omap,cyc:img/ffn_up,cyc:img/ffn_down,e_mJ:text/qkv,e_mJ:text/attn,e_mJ:text/omap,e_mJ:text/ffn_up,e_mJ:text/ffn_down,e_mJ:img/qkv,e_mJ:img/attn,e_mJ:img/omap,e_mJ:img/ffn_up,e_mJ:img/ffn_down
only_T3,batch,4,3254,4,3949448936684.0,7898.897873368,0.0005063997616030002,15316471.497316657,3829117.874329164,6599111.329456128,181361.12607916803,7351164.360776161,1.9390643787100754,120983244137.65613,3315773440.0,20115905516.0,2579573248.0,13640632320.0,6820316160.0,415268985600.0,771578931200.0,301853798400.0,1609516339200.0,804758169600.0,34747.848024064006,207908.70333408003,27032.640724992,145775.871639552,72887.541866496,883273.2733440001,2695040.7316224,582534.3283200001,3688895.0205972483,1844091.9201546242
noT1,batch,4,3254,4,2912695610348.0,5825.391220696,0.0006866491619977571,11535466.173064824,2883866.543266206,4586710.436086088,132062.895962816,5942884.15791152,1.9802045452471089,67198603371.20752,833867776.0,20115905516.0,649202176.0,13640632320.0,6820316160.0,203161996800.0,771578931200.0,152251545600.0,938884531200.0,804758169600.0,8817.42711980032,207908.70333408003,6864.53557723136,145775.871639552,72887.541866496,347139.33830553596,2695040.7316224,217332.53352652813,2203103.276466177,1844091.920154624
noT2,batch,4,3254,4,3052420179948.0,6104.840359896,0.0006552177885398697,11368066.855391096,2842016.713847774,5255801.32840276,142754.846356416,5053784.62664752,1.8621399062406863,69400233352.78758,833867776.0,20115905516.0,649202176.0,13640632320.0,6820316160.0,203161996800.0,240671692800.0,152251545600.0,1609516339200.0,804758169600.0,8817.42711980032,207908.70333408003,6864.53557723136,145775.871639552,72887.541866496,347139.33830553596,860207.7293376005,217332.53352652813,3688895.0205972483,1844091.920154624
noT3,batch,4,3254,4,4115497142252.0,8230.994284504,0.00048596802059874594,14118279.594037114,3529569.8985092784,5686975.022530888,190943.26959814402,7005712.15923248,1.7152580971434703,116207478645.54893,833867776.0,20115905516.0,649202176.0,27245152256.0,13622576128.0,203161996800.0,240671692800.0,152251545600.0,1861431756800.0,1595512934400.0,8817.42711980032,207908.70333407994,6864.53557723136,285521.500422144,142760.356257792,347139.338305536,860207.7293376005,217332.53352652813,3726615.6003328003,2964965.584896
all_on,batch,4,3254,4,2381788371948.0,4763.576743896,0.0008397051658977805,9010453.760860024,2252613.440215006,3944265.7229212876,109875.064058816,4241776.46229552,1.8915311425193118,42921987987.18306,833867776.0,20115905516.0,649202176.0,13640632320.0,6820316160.0,203161996800.0,240671692800.0,152251545600.0,938884531200.0,804758169600.0,8817.42711980032,207908.70333408003,6864.53557723136,145775.871639552,72887.541866496,347139.33830553596,860207.7293376001,217332.53352652813,2203103.276466177,1844091.920154624
all_off,batch,16,3254,16,25228390257584.0,50456.780515168,0.0003171030699271465,86373372.88080712,5398335.805050445,36110189.46782823,1173026.08762752,41521640.24807616,1.7118288562791293,4358122317801.6484,3335471104.0,80463622064.0,2596808704.0,27353489408.0,13676744704.0,1661075942400.0,3086315724800.0,1207415193600.0,12764103475200.0,6382051737600.0,36856.010211328,831634.8133363201,28691.932545024003,302306.195079168,151151.521726464,3533093.0933760004,10780162.9264896,2330137.3132800004,23722569.40032,11859862.339584
only_T1,batch,16,3254,16,23104761303984.0,46209.522607968,0.0003462489785003987,76273323.23198791,4767082.701999244,33540410.615169026,1084274.76001152,34717209.465612166,1.6505975159941588,3524553854273.396,3335471104.0,80463622064.0,2596808704.0,27353489408.0,13676744704.0,1661075942400.0,962686771200.0,1207415193600.0,12764103475200.0,6382051737600.0,36856.010211328,831634.8133363201,28691.932545024003,302306.195079168,151151.521726464,3533093.0933760004,3440830.9173504002,2330137.3132800004,23722569.40032,11859862.339584
only_T2,batch,16,3254,16,19910013809584.0,39820.027619168,0.0004018078579206747,70643376.4994183,4415211.031213644,28121140.094337028,911473.88753792,35637758.374668166,1.7740664867196874,2813021203318.1206,3335471104.0,80463622064.0,2596808704.0,27353489408.0,13676744704.0,1661075942400.0,3086315724800.0,1207415193600.0,7445727027200.0,6382051737600.0,36856.010211328,831634.8133363201,28691.932545024003,302306.195079168,151151.521726464,3533093.0933760004,10780162.9264896,2330137.3132800004,14906462.401331201,11859862.339584
only_T3,batch,16,3254,16,15718926300080.0,31437.85260016,0.0005089406138356463,60350967.31598151,3771935.457248844,26396445.317824513,720679.2454417921,28518164.8626912,1.919691146960666,1897304814756.9004,3335471104.0,80463622064.0,2596808704.0,13748969472.0,6874484736.0,1661075942400.0,3086315724800.0,1207415193600.0,6438065356800.0,3219032678400.0,36856.010211328,831634.8133363201,28691.932545024003,162560.566296576,81278.707335168,3533093.0933760004,10780162.9264896,2330137.3132800004,14755580.082388993,7376367.680618497
noT1,batch,16,3254,16,11586571339696.0,23173.142679392,0.0006904544722899793,45381970.587318756,2836373.161707422,18346841.744344354,523909.90354304004,23035247.53752256,1.9583865345841582,1051642879491.9087,1654603776.0,80463622064.0,1286914048.0,13748969472.0,6874484736.0,812647987200.0,3086315724800.0,609006182400.0,3755538124800.0,3219032678400.0,9616.73153609728,831634.8133363201,7505.826908733442,162560.566296576,81278.707335168,1388557.3532221438,10780162.9264896,869330.1341061125,8812413.105864707,7376367.680618496
