model,hw,task,ablation,operator,cycles,pct_of_total
bagel,ours,GenEdit,onlyT3,text/qkv,13733119008,1.227
bagel,ours,GenEval,all_on,img/attn,29142220800,5.36
bagel,ours,GenEval,all_on,img/drain,25600,0.0
bagel,ours,GenEval,all_on,img/ffn_down,134126361600,24.671
bagel,ours,GenEval,all_on,img/ffn_up,216431174400,39.811
bagel,ours,GenEval,all_on,img/omap,25375257600,4.668
bagel,ours,GenEval,all_on,img/prefetch,102400,0.0
bagel,ours,GenEval,all_on,img/qkv,33860332800,6.228
bagel,ours,GenEval,all_on,text/attn,2063273502,0.38
bagel,ours,GenEval,all_on,text/ffn_down,28334012448,5.212
bagel,ours,GenEval,all_on,text/ffn_up,66280279744,12.192
bagel,ours,GenEval,all_on,text/omap,3517469312,0.647
bagel,ours,GenEval,all_on,text/qkv,4522460544,0.832
bagel,ours,GenEval,alloff,img/attn,57115027200,4.888
bagel,ours,GenEval,alloff,img/drain,25600,0.0
bagel,ours,GenEval,alloff,img/ffn_down,265918822400,22.756
bagel,ours,GenEval,alloff,img/ffn_up,531837644800,45.511
bagel,ours,GenEval,alloff,img/omap,50308966400,4.305
bagel,ours,GenEval,alloff,img/prefetch,102400,0.0
bagel,ours,GenEval,alloff,img/qkv,69211497600,5.923
bagel,ours,GenEval,alloff,text/attn,2063273502,0.177
bagel,ours,GenEval,alloff,text/ffn_down,54804082144,4.69
bagel,ours,GenEval,alloff,text/ffn_up,112916756288,9.663
bagel,ours,GenEval,alloff,text/omap,10681314784,0.914
bagel,ours,GenEval,alloff,text/qkv,13733119008,1.175
bagel,ours,GenEval,allon_pure,img/attn,29142220800,4.698
bagel,ours,GenEval,allon_pure,img/drain,25600,0.0
bagel,ours,GenEval,allon_pure,img/ffn_down,134126361600,21.622
bagel,ours,GenEval,allon_pure,img/ffn_up,216431174400,34.891
bagel,ours,GenEval,allon_pure,img/omap,50308966400,8.11
bagel,ours,GenEval,allon_pure,img/prefetch,102400,0.0
bagel,ours,GenEval,allon_pure,img/qkv,69211497600,11.158
bagel,ours,GenEval,allon_pure,text/attn,2063273502,0.333
bagel,ours,GenEval,allon_pure,text/ffn_down,28334012448,4.568
bagel,ours,GenEval,allon_pure,text/ffn_up,66280279744,10.685
bagel,ours,GenEval,allon_pure,text/omap,10681314784,1.722
bagel,ours,GenEval,allon_pure,text/qkv,13733119008,2.214
bagel,ours,GenEval,noT3,img/attn,29142220800,2.808
bagel,ours,GenEval,noT3,img/drain,25600,0.0
bagel,ours,GenEval,noT3,img/ffn_down,265918822400,25.621
bagel,ours,GenEval,noT3,img/ffn_up,429096281600,41.344
bagel,ours,GenEval,noT3,img/omap,50308966400,4.847
bagel,ours,GenEval,noT3,img/prefetch,102400,0.0
bagel,ours,GenEval,noT3,img/qkv,69211497600,6.669
bagel,ours,GenEval,noT3,text/attn,2063273502,0.199
bagel,ours,GenEval,noT3,text/ffn_down,54804082144,5.28
bagel,ours,GenEval,noT3,text/ffn_up,112916756288,10.88
bagel,ours,GenEval,noT3,text/omap,10681314784,1.029
bagel,ours,GenEval,noT3,text/qkv,13733119008,1.323
bagel,ours,GenEval,onlyT1,img/attn,29142220800,2.555
bagel,ours,GenEval,onlyT1,img/drain,25600,0.0
bagel,ours,GenEval,onlyT1,img/ffn_down,265918822400,23.314
bagel,ours,GenEval,onlyT1,img/ffn_up,531837644800,46.627
bagel,ours,GenEval,onlyT1,img/omap,50308966400,4.411
bagel,ours,GenEval,onlyT1,img/prefetch,102400,0.0
bagel,ours,GenEval,onlyT1,img/qkv,69211497600,6.068
bagel,ours,GenEval,onlyT1,text/attn,2063273502,0.181
bagel,ours,GenEval,onlyT1,text/ffn_down,54804082144,4.805
bagel,ours,GenEval,onlyT1,text/ffn_up,112916756288,9.9
bagel,ours,GenEval,onlyT1,text/omap,10681314784,0.936
bagel,ours,GenEval,onlyT1,text/qkv,13733119008,1.204
bagel,ours,GenEval,onlyT2,img/attn,57115027200,5.359
bagel,ours,GenEval,onlyT2,img/drain,25600,0.0
bagel,ours,GenEval,onlyT2,img/ffn_down,265918822400,24.949
bagel,ours,GenEval,onlyT2,img/ffn_up,429096281600,40.259
bagel,ours,GenEval,onlyT2,img/omap,50308966400,4.72
bagel,ours,GenEval,onlyT2,img/prefetch,102400,0.0
bagel,ours,GenEval,onlyT2,img/qkv,69211497600,6.494
bagel,ours,GenEval,onlyT2,text/attn,2063273502,0.194
